Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
33420,53.6667,64.3529,68.999,75.3614,97.3384,52.758,16.8758,17.0547,15.4156,9.32025,6.12516,14.2779,2.5501,-0.03475,-0.2735,96.8789,96.5212
33360,53.926,61.4225,69.6339,76.2041,98.0077,51.2024,16.9142,17.0833,15.5337,9.22892,6.13686,14.4803,2.62207,-0.1305,0.11875,96.8789,96.5212
33300,54.9317,63.0132,69.3503,75.8064,97.6863,52.0528,16.9096,17.0709,15.4691,9.26229,6.144,14.4404,2.60089,-0.2645,0.0685,96.8789,96.5212
33240,55.5159,62.1502,69.0923,75.4405,97.3854,51.5975,16.8876,17.0589,15.4395,9.39197,6.17129,14.313,2.54227,0.13175,-0.146,96.8789,96.5212
33180,54.2865,62.8667,70.1225,76.8381,98.4997,51.9844,16.9463,17.1086,15.5609,9.34559,6.2252,14.5927,2.63517,-0.082,0.4075,97.1079,96.3813
33120,55.1426,61.8589,69.3575,75.7698,97.6443,51.4539,16.9155,17.0773,15.4808,9.29753,6.15671,14.4299,2.59844,-0.17275,0.06625,97.1079,96.3813
33060,54.1705,62.8365,69.2536,75.5764,97.4822,51.9859,16.8837,17.0701,15.4644,9.29712,6.13033,14.3025,2.57582,0.19175,-0.21725,97.1079,96.3813
33000,54.2808,63.819,69.187,75.4623,97.3784,52.5175,16.9282,17.0608,15.412,9.35489,6.17535,14.5335,2.61893,0.1775,0.337831,97.1079,96.3813
32940,55.3722,62.7999,69.6662,76.1264,97.9194,51.9677,16.9136,17.0832,15.5029,9.37035,6.21345,14.4487,2.58933,-0.026,0.145008,97.1079,96.3813
32880,52.9996,61.3682,69.7475,76.2408,98.0008,51.2052,16.8778,17.0809,15.5735,9.24754,6.16147,14.3502,2.59943,-0.18875,-0.104142,96.9129,96.0733
32820,53.9519,62.7534,70.3473,77.0891,98.6897,51.9352,16.8728,17.1105,15.6249,9.36965,6.24299,14.2832,2.54564,0.1615,-0.226,96.9129,96.0733
32760,55.4449,63.3728,69.5649,76.0451,97.8649,52.2589,16.8978,17.0801,15.4993,9.32233,6.19513,14.3695,2.57268,-0.38675,-0.03425,96.9129,96.0733
32700,53.7209,63.1679,69.0424,75.3296,97.2847,52.1522,16.8729,17.0537,15.4383,9.29452,6.11707,14.2875,2.56096,0.00875,-0.256,96.9129,96.0733
32640,53.5242,63.2219,70.0949,76.776,98.4494,52.1818,16.8982,17.1072,15.5857,9.29312,6.19318,14.3807,2.59781,-0.128,-0.06875,96.9129,96.0733
32580,53.7723,63.8692,68.481,74.5387,96.6503,52.5336,16.9228,17.03,15.3308,9.2318,6.06522,14.519,2.63518,-0.3635,0.231,97.0755,96.3408
32520,55.7315,60.9683,69.7866,76.3342,98.0918,50.9856,16.9234,17.0923,15.544,9.3351,6.20107,14.4905,2.60297,-0.014,0.19525,97.0755,96.3408
32460,53.2187,62.5285,69.9218,76.4836,98.2033,51.8215,16.8775,17.0936,15.5891,9.13361,6.15483,14.338,2.60972,-0.311,-0.114126,97.0755,96.3408
32400,54.3597,63.2351,70.6585,77.5158,99.0342,52.1943,16.9264,17.1265,15.639,9.37642,6.30042,14.5245,2.6052,-0.0935,0.331197,97.0755,96.3408
32340,54.5453,61.6003,70.4612,77.2588,98.8368,51.3176,16.8809,17.1199,15.6537,9.44449,6.29207,14.2813,2.53518,0.0505,-0.193192,97.0755,96.3408
32280,54.0568,62.6405,69.7401,76.2839,98.0531,51.8716,16.8712,17.0838,15.5564,9.29381,6.17566,14.2925,2.56531,-0.3265,-0.252537,96.588,96.3976
32220,55.2003,62.2257,69.5814,76.0631,97.8805,51.6531,16.9159,17.0785,15.5119,9.23509,6.17549,14.4952,2.61772,-0.31925,0.244647,96.588,96.3976
32160,53.847,61.5606,69.405,75.8268,97.6962,51.2931,16.9121,17.0696,15.4945,9.34086,6.18643,14.472,2.60662,-0.05575,0.204314,96.588,96.3976
