Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
38520,54.6402,62.981,69.7778,76.371,98.1227,52.043,16.8858,17.0851,15.5393,9.34251,6.21113,14.3418,2.55239,-0.267,-0.11425,96.8884,96.4811
38460,53.4745,62.8876,70.0672,76.7672,98.4491,51.9897,16.9038,17.105,15.575,9.30916,6.18719,14.4138,2.59521,0.18575,-0.007,96.8884,96.4811
38400,54.3673,60.8155,69.283,75.6923,97.5844,50.8923,16.893,17.0719,15.4993,9.34071,6.16871,14.3304,2.56258,-0.24825,-0.1415,96.8884,96.4811
38340,54.7958,63.3674,69.1294,75.4461,97.3913,52.2623,16.9165,17.0686,15.4319,9.24907,6.11805,14.4375,2.61184,-0.204,0.061,96.8884,96.4811
38280,54.5419,60.8881,69.091,75.3554,97.3037,50.9541,16.8878,17.0596,15.4687,9.32005,6.14236,14.3291,2.56756,-0.08225,-0.14475,97.1196,96.4287
38220,55.0459,63.1443,68.8301,74.9752,97.0028,52.1556,16.9005,17.0437,15.3752,9.44499,6.21459,14.3887,2.56036,0.30025,0.124737,97.1196,96.4287
38160,53.9034,62.8748,70.5897,77.3962,98.9349,52.0074,16.8937,17.1145,15.6346,9.40246,6.3035,14.4229,2.5641,0.53425,0.17794,97.1196,96.4287
38100,53.1976,61.5553,69.3805,75.7979,97.6735,51.2885,16.9106,17.0626,15.4775,9.3951,6.17318,14.4856,2.58686,0.33,0.19275,97.1196,96.4287
38040,53.7206,63.7026,68.931,75.2315,97.2212,52.422,16.87,17.0384,15.4013,9.38779,6.12845,14.3235,2.5394,0.46375,-0.1835,97.1196,96.4287
37980,54.6094,60.2494,69.244,75.7019,97.6148,50.5698,16.8845,17.0616,15.4977,9.33495,6.14013,14.3429,2.55536,0.0566524,-0.13825,97.1833,96.5517
37920,54.0639,62.3851,70.3699,77.2307,98.8454,51.7074,16.9056,17.1156,15.631,9.2941,6.20304,14.4394,2.60314,-0.0796645,0.044,97.1833,96.5517
37860,54.9159,61.7199,70.1944,76.9869,98.6372,51.3534,16.8596,17.1007,15.6335,9.26399,6.20248,14.2496,2.53739,-0.23475,-0.34175,97.1833,96.5517
37800,53.5444,62.4992,69.1096,75.5273,97.48,51.7621,16.9273,17.0577,15.4332,9.21683,6.07788,14.5596,2.63935,0.043665,0.26675,97.1833,96.5517
37740,54.1332,62.5328,69.3554,75.8769,97.7601,51.7805,16.9653,17.0738,15.4302,9.51207,6.20215,14.6673,2.62593,0.429367,0.5885,97.1833,96.5517
37680,53.7471,63.405,68.8982,75.22,97.2238,52.2544,16.9252,17.0516,15.397,9.16776,6.05869,14.5349,2.64135,-0.24225,0.206,97.0868,96.2123
37620,54.8839,63.4088,69.5608,76.101,97.9247,52.2623,16.9123,17.0829,15.4799,9.38708,6.20198,14.4176,2.57117,0.09375,0.06875,97.0868,96.2123
37560,54.0609,62.3616,68.6577,74.8606,96.9258,51.7095,16.9227,17.0423,15.3637,9.43329,6.14853,14.4676,2.58825,0.03125,0.16425,97.0868,96.2123
37500,54.5052,60.5832,70.4888,77.3091,98.8831,50.7673,16.8866,17.1263,15.6731,9.29005,6.21985,14.3095,2.57123,0.19675,-0.19175,97.0868,96.2123
37440,53.9352,61.7984,68.5482,74.6684,96.7551,51.4214,16.9309,17.0333,15.3582,9.32946,6.10498,14.5465,2.62342,-0.21775,0.295,97.0868,96.2123
37380,53.952,62.2694,69.5014,75.9498,97.793,51.6776,16.9125,17.0858,15.5018,9.31716,6.16836,14.4064,2.60006,-0.1525,0.019,96.753,96.423
37320,54.4593,62.8178,70.9745,77.9057,99.3462,51.9778,16.858,17.1452,15.7245,9.41331,6.33917,14.1659,2.52026,0.077,-0.39566,96.753,96.423
37260,54.403,61.6416,70.4647,77.2226,98.7895,51.3478,16.8963,17.1136,15.6215,9.57845,6.34567,14.3708,2.52677,0.61625,0.0576483,96.753,96.423
37200,54.789,62.8981,69.7582,76.2951,98.0564,52.0118,16.8908,17.0842,15.5168,9.43588,6.22242,14.3589,2.54706,0.409,-0.0565,96.753,96.423
37140,53.4408,61.1018,69.2668,75.622,97.5198,51.0501,16.8855,17.0603,15.4952,9.35282,6.16026,14.356,2.57614,-0.09775,-0.0895,96.753,96.423
37080,53.9257,63.0169,69.2768,75.6727,97.5627,52.0636,16.9582,17.0619,15.4135,9.43811,6.19139,14.6786,2.62552,0.24175,0.61925,96.7362,96.3411
37020,54.8223,61.2462,70.5135,77.3772,98.936,51.1185,16.8881,17.126,15.6648,9.33328,6.23893,14.3211,2.556,0.151,-0.171,96.7362,96.3411
36960,54.0376,63.4533,69.137,75.4822,97.4309,52.3007,16.911,17.0714,15.4205,9.45869,6.18619,14.3641,2.56464,0.26775,-0.02475,96.7362,96.3411
36900,53.5324,61.1387,69.5322,75.9557,97.7839,51.0789,16.8755,17.0741,15.5379,9.34052,6.17574,14.301,2.56533,-0.075,-0.203748,96.7362,96.3411
36840,54.9586,62.7671,68.8658,75.0688,97.0681,51.941,16.8678,17.0389,15.4058,9.42139,6.16223,14.2751,2.52571,0.17175,-0.23375,96.7362,96.3411
