Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
43860,55.1851,62.7186,69.316,77.0268,98.652,52.0941,16.9161,17.0988,12.1084,7.21984,4.86341,11.3479,2.01257,-0.10625,0.1135,97.367,96.208
43800,54.6681,61.3082,69.1774,76.06,97.8733,51.9664,16.8772,17.0635,12.0394,7.14955,4.78689,11.2069,1.99487,-0.112,-0.20274,97.367,96.208
43740,54.5593,64.5213,69.2613,75.9215,97.7607,52.0525,16.9464,17.05,11.9652,7.303,4.81827,11.5516,2.04784,0.356,0.55025,97.367,96.208
43680,54.2548,61.4769,69.5169,75.8974,97.75,52.3027,16.8721,17.0469,12.001,7.18438,4.77748,11.2229,1.97641,0.03725,-0.1775,97.3451,96.372
43620,55.2945,62.4725,69.7105,76.1251,97.9453,52.476,16.8991,17.0544,11.9872,7.32407,4.84163,11.3032,1.96767,0.144857,0.04375,97.3451,96.372
43560,53.7844,61.8457,68.466,76.3239,98.1016,51.2045,16.8845,17.0606,12.0609,7.16769,4.78538,11.2673,1.9881,-0.195191,-0.1095,97.3451,96.372
43500,54.1753,60.2755,68.8901,75.1538,97.1759,51.6254,16.8565,17.0304,11.9382,7.22014,4.72028,11.0853,1.94353,-0.0020987,-0.49025,97.3451,96.372
43440,53.8731,62.4187,68.717,76.0193,97.8738,51.4536,16.9131,17.0662,12.0178,7.13887,4.76307,11.3318,2.02585,-0.187038,0.02475,97.3451,96.372
43380,53.0254,61.791,69.6991,75.2067,97.2088,52.477,16.8903,17.0342,11.9295,7.10265,4.70574,11.2736,2.02028,-0.1325,-0.109,97.1697,96.2361
43320,55.5283,63.8579,69.0411,75.5521,97.4767,51.8099,16.9321,17.0375,11.9139,7.45901,4.85925,11.4373,1.98493,0.629,0.38275,97.1697,96.2361
43260,54.3772,62.4132,69.5698,76.2773,98.0626,52.3406,16.8979,17.061,12.0122,7.30389,4.83209,11.3092,1.98422,0.351,0.0345,97.1697,96.2361
43200,55.095,62.7907,69.8072,75.6718,97.572,52.5813,16.9042,17.0375,11.941,7.22014,4.7844,11.3537,1.99551,-0.0185,0.12275,97.1697,96.2361
43140,53.5279,63.3302,69.4946,75.8692,97.7366,52.2444,16.9233,17.0482,11.9565,7.30559,4.79998,11.4128,2.01176,0.196948,0.23975,97.1697,96.2361
43080,54.8635,61.7085,69.6827,75.6827,97.5892,52.4319,16.8923,17.0499,11.9588,7.11811,4.74011,11.2484,1.9925,-0.167811,-0.148,97.0431,96.2105
43020,53.7617,61.6511,68.9163,76.3829,98.1562,51.6511,16.8983,17.0821,12.0448,7.26933,4.82493,11.2165,1.9795,0.2195,-0.1575,97.0431,96.2105
42960,54.7999,62.1265,69.3096,75.9503,97.792,52.075,16.9046,17.0652,11.99,7.29302,4.82459,11.2641,1.98764,0.20025,-0.0305,97.0431,96.2105
42900,54.233,61.1673,69.4274,76.3842,98.1246,52.2126,16.8756,17.0747,12.0539,7.24818,4.8326,11.1686,1.96422,0.1045,-0.25075,97.0431,96.2105
42840,54.9117,64.0596,68.576,75.4701,97.3941,51.3464,16.9445,17.0443,11.9452,7.21406,4.77578,11.5047,2.06076,0.05225,0.438,97.0431,96.2105
42780,54.1536,62.0363,69.6517,75.9101,97.7421,52.4467,16.8915,17.0548,11.9996,7.19986,4.79896,11.2785,2.00255,-0.13675,-0.03975,97.1709,96.3423
42720,54.7328,61.4924,69.2251,76.48,98.2036,52.0026,16.8793,17.0726,12.0736,7.17176,4.81914,11.2204,1.98417,-0.2945,-0.178,97.1709,96.3423
42660,55.0034,61.2213,69.9595,75.2034,97.1955,52.7416,16.8768,17.0336,11.9043,7.32282,4.79741,11.1608,1.9458,0.16225,-0.246,97.1709,96.3423
42600,52.8085,61.4052,69.5972,76.9184,98.5629,52.3809,16.8786,17.0894,12.1152,7.16709,4.81544,11.2245,2.00135,0.09875,-0.1955,97.1709,96.3423
42540,53.8048,61.8617,69.8166,76.0895,97.8929,52.605,16.8833,17.0549,11.999,7.30613,4.83673,11.2388,1.96327,0.1705,-0.08725,97.1709,96.3423
42480,54.0441,62.8872,70.1534,75.1673,97.1594,52.937,16.91,17.0249,11.8749,7.27545,4.76183,11.3657,1.99943,0.34925,0.14875,97.095,96.086
42420,53.287,62.0967,69.2721,76.7544,98.4362,52.0289,16.8977,17.0834,12.0839,7.17144,4.80448,11.297,2.00774,0.08475,-0.04575,97.095,96.086
42360,54.5928,61.8552,69.4154,76.0523,97.8762,52.1726,16.8959,17.0642,12.0037,7.20777,4.79803,11.2506,1.98696,-0.04275,-0.103,97.095,96.086
42300,54.8582,62.9005,68.9587,75.6542,97.5532,51.7153,16.9217,17.0529,11.953,7.33764,4.82691,11.3464,1.997,0.18125,0.15025,97.095,96.086
42240,54.1529,61.5702,68.3569,76.4063,98.1452,51.1183,16.8879,17.0774,12.08,7.21288,4.8219,11.2242,1.98758,-0.0435,-0.1585,97.095,96.086
42180,53.7987,62.2595,70.3533,76.3363,98.0895,53.1563,16.9037,17.0753,12.0264,7.16707,4.79668,11.3147,2.02203,-0.02925,0.0095,97.4024,96.0399
42120,54.3771,63.3151,69.2402,76.4322,98.1698,52.0247,16.9275,17.0776,12.0457,7.23989,4.8623,11.4219,2.04202,0.071,0.330545,97.4024,96.0399
42060,54.1008,60.9353,70.487,75.7386,97.604,53.3037,16.8626,17.0462,11.9819,7.15391,4.84018,11.1628,1.97206,-0.37375,-0.114945,97.4024,96.0399
42000,52.9974,63.8593,69.2332,75.4251,97.3656,52.014,16.9333,17.0351,11.9414,7.12304,4.76013,11.5101,2.07085,-0.236,0.506302,97.4024,96.0399
41940,54.1441,60.8939,69.669,76.083,97.8997,52.4501,16.8643,17.058,12.0169,7.23251,4.82809,11.1503,1.95318,0.14925,-0.226486,97.4024,96.0399
41880,54.3404,63.6535,70.2543,76.7949,98.4716,53.0429,16.9293,17.0805,12.0556,7.09307,4.81477,11.4903,2.06064,-0.0575,0.457363,96.6877,96.398
41820,54.8382,62.9511,68.7856,75.6188,97.5374,51.5379,16.914,17.0419,11.9597,7.30797,4.8521,11.3578,1.99453,-0.16325,0.253386,96.6877,96.398
41760,54.2712,62.3953,70.2489,77.1864,98.797,53.0207,16.9033,17.0959,12.098,7.27755,4.86542,11.311,1.99081,0.0752759,0.0282898,96.6877,96.398
41700,53.6923,63.3578,68.9349,75.841,97.7223,51.6823,16.9278,17.0529,11.9903,7.1278,4.74713,11.4473,2.05628,-0.313765,0.269591,96.6877,96.398
41640,54.8596,60.653,70.1914,75.9907,97.8372,52.9657,16.8617,17.0563,11.9906,7.24906,4.79604,11.1129,1.93641,0.07175,-0.38875,96.6877,96.398
41580,54.9842,62.472,69.0324,75.3794,97.3497,51.7851,16.9062,17.0374,11.9314,7.23281,4.75825,11.3215,1.99737,0.10275,0.04525,96.9461,96.2513
41520,53.0538,61.198,69.4768,76.772,98.4628,52.2361,16.8755,17.0833,12.1084,7.08657,4.77925,11.2119,2.00187,-0.404,-0.259,96.9461,96.2513
41460,53.5998,60.4982,68.6608,76.6998,98.3982,51.4064,16.8569,17.0781,12.1023,7.28017,4.83764,11.0973,1.92847,0.10575,-0.4285,96.9461,96.2513
41400,55.5662,63.0832,69.0262,73.9698,96.2247,51.7743,16.9271,16.996,11.7761,7.20623,4.68405,11.3903,2.01982,-0.16975,0.18525,96.9461,96.2513
41340,53.9854,62.8866,69.727,76.4695,98.2264,52.4959,16.9243,17.0826,12.0315,7.23597,4.80848,11.3744,2.02447,0.196,0.14425,96.9461,96.2513
41280,54.3086,61.6101,69.3719,76.1961,97.9991,52.151,16.8873,17.0688,12.0406,7.10371,4.78533,11.2534,2.0078,-0.08475,-0.0502688,97.2249,96.2812
41220,53.6662,61.7541,70.3089,77.0198,98.6581,53.1111,16.8853,17.091,12.1054,7.11068,4.83614,11.278,2.01296,0.136,0.0478337,97.2249,96.2812
41160,53.9809,62.0589,69.1057,76.2033,98.0032,51.8866,16.8832,17.0541,12.0421,7.14941,4.78185,11.3049,2.00715,-0.01575,0.0332816,97.2249,96.2812
41100,54.285,63.9139,68.8553,76.8026,98.4904,51.6121,16.9254,17.0689,12.0841,7.1662,4.81646,11.5033,2.04759,-0.3435,0.39075,97.2249,96.2812
41040,54.3775,62.1586,69.7052,76.4433,98.2174,52.4471,16.8898,17.0601,12.029,7.26054,4.8041,11.2893,1.98068,-0.0642481,-0.04275,97.2249,96.2812
40980,54.4063,62.341,69.2565,75.789,97.6877,51.9843,16.8961,17.0398,11.9661,7.2509,4.74718,11.3194,1.99667,0.0272143,-0.0025,97.1754,96.4658
40920,53.9257,62.8003,69.1004,77.0211,98.6772,51.8189,16.9146,17.0889,12.0989,7.25137,4.80258,11.3732,2.02554,0.062544,0.10525,97.1754,96.4658
40860,54.9364,63.9704,69.4727,76.2416,98.0501,52.2026,16.9492,17.0705,11.9888,7.27712,4.76884,11.4983,2.05792,0.227952,0.3855,97.1754,96.4658
40800,53.7112,61.547,70.3386,77.5245,99.0763,53.096,16.8973,17.1215,12.1582,7.17155,4.8189,11.2425,2.02397,-0.129384,-0.1825,97.1754,96.4658
40740,53.8159,60.7971,69.8588,75.2007,97.1861,52.6461,16.8668,17.0344,11.9298,7.17313,4.73563,11.1436,1.97334,-0.06825,-0.342,97.1754,96.4658
40680,52.4533,61.27,69.8076,75.9944,97.8137,52.6011,16.8732,17.0568,12.0161,7.11146,4.73119,11.2247,2.00603,0.18925,-0.22525,97.257,96.0909
40620,53.4746,62.0994,69.0453,76.1932,97.9835,51.8119,16.8958,17.0644,12.0376,7.20437,4.79866,11.2882,2.00351,-0.13825,-0.0365,97.257,96.0909
40560,53.3952,62.7968,69.2114,76.2397,98.0233,51.9794,16.9132,17.0667,12.0324,7.15664,4.78222,11.3762,2.03441,-0.14825,0.12925,97.257,96.0909
40500,54.1664,62.6112,69.579,75.0349,97.0546,52.36,16.906,17.0243,11.8821,7.2355,4.73694,11.3386,2.00248,0.33425,0.08825,97.257,96.0909
40440,54.2184,61.1977,69.5024,75.1036,97.1157,52.2731,16.8753,17.0284,11.901,7.33409,4.78505,11.1565,1.93989,0.244256,-0.254,97.257,96.0909
40380,52.1567,62.9015,69.5743,76.0298,97.8596,52.3456,16.9173,17.061,12.0167,7.03549,4.72352,11.4173,2.07193,-0.449,0.152,96.9881,96.3628
40320,53.9147,61.596,69.0604,76.1315,97.9402,51.8255,16.8851,17.0637,12.0332,7.20281,4.78903,11.2334,1.98946,0.03,-0.1565,96.9881,96.3628
40260,53.9622,62.2755,69.5178,74.9787,97.0237,52.2911,16.9018,17.026,11.8985,7.21621,4.74778,11.3031,2.01188,-0.244,0.006,96.9881,96.3628
