Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
38820,54.4208,63.2772,69.1162,75.445,97.414,50.8402,16.9237,17.0748,17.9416,10.7891,7.14683,16.804,3.03975,-0.1225,0.2125,97.4821,96.4163
38760,54.1966,60.3763,69.4155,76.1531,97.9723,51.1553,16.8488,17.0928,18.0443,10.8287,7.19701,16.4722,2.94116,0.0275,-0.47425,97.4821,96.4163
38700,55.1289,62.7397,70.2399,74.9733,97.0343,51.9844,16.9076,17.0545,17.8393,10.9891,7.19713,16.7212,2.96202,0.38975,0.08075,97.4821,96.4163
38640,55.3932,62.6413,68.607,74.9407,97.0102,50.3227,16.9059,17.055,17.8972,10.871,7.15683,16.7213,2.99033,0.14175,0.0605,97.4821,96.4163
38580,53.9229,61.4922,69.284,75.5187,97.463,51.0214,16.8755,17.0703,17.9735,10.759,7.13639,16.6202,2.98866,-0.263,-0.21475,97.1894,96.5455
38520,54.4874,62.0718,69.497,74.6481,96.787,51.2142,16.9008,17.0528,17.8466,10.9223,7.15051,16.6433,2.97818,0.19175,-0.08275,97.1894,96.5455
38460,52.591,63.0617,70.0696,75.1275,97.1623,51.8122,16.9191,17.0649,17.8823,10.7449,7.08832,16.793,3.05098,0.221,0.16125,97.1894,96.5455
38400,55.553,61.0275,68.3583,76.4636,98.2191,50.0846,16.8612,17.1003,18.0986,10.7597,7.19909,16.5531,2.95841,-0.073,-0.3175,97.1894,96.5455
38340,53.6181,62.6042,69.3183,76.4254,98.1982,51.0483,16.9017,17.1007,18.0328,10.8095,7.189,16.7342,2.99844,0.399,0.05025,97.1894,96.5455
38280,53.8694,61.8851,69.9339,76.1922,98.0188,51.6633,16.8898,17.0974,17.9954,10.8732,7.20016,16.6371,2.97306,0.44275,-0.12725,96.6141,96.3596
38220,53.7511,62.3703,69.3116,76.2314,98.0457,51.0318,16.898,17.0953,18.0289,10.7704,7.17177,16.7135,3.01407,-0.092,-0.0105,96.6141,96.3596
38160,53.2158,61.2548,70.5097,77.3423,98.9291,52.257,16.8739,17.1344,18.135,10.6668,7.18126,16.6056,3.00825,-0.19625,-0.27875,96.6141,96.3596
38100,52.7441,61.6438,70.1869,75.6273,97.5601,51.9213,16.8882,17.0821,17.9375,10.8552,7.15323,16.6219,2.98475,0.37325,-0.18825,96.6141,96.3596
38040,52.052,62.1121,69.7447,77.0648,98.7082,51.4738,16.9038,17.1359,18.1262,10.4635,7.07559,16.7182,3.07815,-0.2485,-0.073,96.6141,96.3596
37980,54.1176,59.51,69.6073,76.0999,97.9262,51.3423,16.8408,17.103,18.0421,10.8059,7.18332,16.3688,2.9279,0.03875,-0.68775,97.2902,96.1583
37920,54.0111,61.1669,69.6204,75.4692,97.4193,51.3606,16.8798,17.0828,17.9538,10.8766,7.18115,16.5479,2.97254,0.072,-0.2865,97.2902,96.1583
37860,54.3122,62.1995,69.6012,75.9566,97.7925,51.3611,16.8931,17.089,18.0032,10.8493,7.20662,16.6799,3.00663,-0.1345,-0.02925,97.2902,96.1583
37800,53.5798,61.2788,70.4528,75.8751,97.7288,52.2284,16.8685,17.0833,17.9803,10.8785,7.20525,16.5769,2.97666,-0.003,-0.249,97.2902,96.1583
37740,54.159,62.8766,69.2506,75.9444,97.7809,51.0111,16.9048,17.0832,17.9883,10.9134,7.22273,16.758,2.99765,0.222,0.12925,97.2902,96.1583
37680,54.444,61.8002,69.7961,76.3824,98.1485,51.5468,16.8847,17.1033,18.0422,10.8149,7.20759,16.6387,2.99863,0.0135,-0.1315,97.088,96.385
37620,54.0916,61.3929,68.7821,76.4176,98.1667,50.5274,16.8675,17.0971,18.0915,10.6834,7.15392,16.6218,3.00668,-0.172,-0.225,97.088,96.385
37560,53.9533,62.3732,69.1859,76.3243,98.1086,50.9172,16.8991,17.1004,18.0476,10.8198,7.20197,16.7088,3.0159,-0.1185,-0.00375,97.088,96.385
37500,54.3443,63.3211,69.624,76.1761,97.9942,51.3596,16.9211,17.0951,18.0033,10.8428,7.21282,16.8055,3.03251,-0.18525,0.22275,97.088,96.385
37440,52.4744,62.6007,68.81,76.5854,98.3209,50.5304,16.9034,17.108,18.0797,10.885,7.23162,16.725,3.01353,0.06175,0.05,97.088,96.385
37380,54.2565,64.462,68.9581,74.8968,96.9703,50.677,16.9515,17.0552,17.8585,10.8395,7.12842,16.9401,3.05902,0.19875,0.48975,97.1742,96.2547
37320,55.4555,62.1845,68.5371,77.178,98.799,50.2415,16.8998,17.1339,18.146,10.9431,7.3098,16.6555,2.97882,-0.00425,-0.05225,97.1742,96.2547
37260,53.8181,61.4024,70.6049,77.7678,99.2605,52.3597,16.876,17.149,18.1869,10.732,7.25704,16.5979,3.00688,-0.55525,-0.2335,97.1742,96.2547
37200,53.8486,62.8902,68.3893,75.7635,97.6541,50.1013,16.9141,17.0843,17.9894,10.929,7.21216,16.746,3.00276,0.2095,0.117,97.1742,96.2547
37140,54.558,62.6492,69.4899,76.0675,97.8973,51.2174,16.915,17.101,17.9926,10.8727,7.20744,16.7184,3.00613,0.1585,0.0565,97.1742,96.2547
37080,53.9685,61.7899,70.0518,75.5215,97.4588,51.7881,16.9008,17.0897,17.9244,10.8835,7.17872,16.6126,2.9769,0.331,-0.1465,97.105,95.8062
37020,54.4459,61.6557,69.3694,75.8857,97.7349,51.1101,16.8944,17.1003,17.9934,10.914,7.21676,16.5992,2.97963,0.31525,-0.16725,97.105,95.8062
36960,53.8344,62.4596,70.2929,75.8002,97.657,52.0642,16.9098,17.0951,17.9655,10.7684,7.15543,16.7183,3.04298,-0.029,0.033,97.105,95.8062
36900,53.5354,62.4883,69.5374,74.5154,96.6215,51.3073,16.9044,17.0473,17.8451,10.9295,7.15559,16.6979,3.01018,0.18325,0.0485,97.105,95.8062
36840,55.3449,61.5261,70.2464,75.9533,97.7695,52.0371,16.8757,17.0901,17.9855,10.8468,7.24489,16.596,2.97592,0.18775,-0.1035,97.105,95.8062
36780,54.2772,62.5625,69.5018,76.4557,98.1699,51.2828,16.8921,17.098,18.0529,10.8692,7.28116,16.7265,3.00997,0.1505,0.18318,97.1064,96.2576
36720,54.0754,62.4913,70.4169,75.2108,97.1894,52.1961,16.8955,17.0592,17.8934,10.8391,7.15254,16.7255,3.01224,-0.0295,0.041,97.1064,96.2576
36660,54.8041,63.7928,69.5175,75.3982,97.354,51.2693,16.9296,17.0685,17.9097,10.9464,7.21066,16.8458,3.02508,0.16925,0.348,97.1064,96.2576
36600,53.8287,63.0465,68.6394,74.8789,96.9358,50.377,16.9097,17.0486,17.8986,10.8147,7.11943,16.7866,3.03035,0.03975,0.16875,97.1064,96.2576
36540,54.9136,61.4883,70.2723,75.9802,97.8226,52.0275,16.8768,17.0884,17.9624,11.0274,7.2611,16.5776,2.93167,0.616,-0.20925,97.1064,96.2576
36480,54.8463,62.0054,70.0979,78.1014,99.5218,51.8482,16.8918,17.1615,18.2087,10.7563,7.27555,16.6679,2.99736,-0.08725,-0.089,96.7326,96.3188
36420,53.8678,62.4367,69.8102,76.388,98.1592,51.5444,16.9103,17.1126,18.0426,10.6724,7.14466,16.723,3.04904,-0.335,0.01075,96.7326,96.3188
36360,54.0732,61.9477,69.2968,75.7328,97.6227,51.0348,16.8944,17.0869,17.9879,10.7653,7.15039,16.6621,3.00852,-0.179,-0.1005,96.7326,96.3188
36300,54.6107,62.6116,69.3165,74.3895,96.5493,51.0564,16.9106,17.0436,17.8348,10.8216,7.10671,16.7231,3.02438,-0.105,0.0625,96.7326,96.3188
36240,55.2498,62.1017,69.0017,74.7667,96.8447,50.7446,16.8934,17.0515,17.8726,10.9919,7.19909,16.6419,2.95717,0.3095,-0.0541272,96.7326,96.3188
36180,54.2539,63.1843,69.1565,74.268,96.4427,50.9083,16.9169,17.0325,17.8206,10.7861,7.09958,16.8093,3.04055,-0.0865,0.252246,97.1767,96.359
36120,53.9993,60.945,70.4303,75.1115,97.1257,52.1996,16.8637,17.0607,17.891,10.896,7.20696,16.532,2.94919,0.33175,-0.217084,97.1767,96.359
36060,54.8585,61.1246,69.8039,76.0573,97.8831,51.5661,16.8643,17.0882,18.0291,10.7355,7.20255,16.5812,2.99301,-0.40225,-0.198387,97.1767,96.359
36000,52.9105,63.8858,69.2219,75.5748,97.503,50.9728,16.9263,17.0692,17.9754,10.5349,7.12421,16.9233,3.12203,-0.5965,0.547015,97.1767,96.359
35940,54.8291,62.2248,70.105,76.1802,97.9882,51.8647,16.8839,17.0839,17.9835,10.978,7.249,16.6754,2.9497,0.36925,-0.03275,97.1767,96.359
35880,54.2771,61.1904,69.7987,76.3413,98.1341,51.5263,16.8702,17.0986,18.0442,10.7948,7.16291,16.5838,2.98423,-0.157372,-0.292,96.9354,96.2926
35820,51.7968,62.6772,69.9375,76.4392,98.2148,51.6665,16.9089,17.1058,18.0442,10.7273,7.10656,16.7767,3.07491,-0.045455,0.06275,96.9354,96.2926
35760,53.427,63.6073,69.2237,75.1021,97.134,50.9504,16.9236,17.0542,17.9155,10.5774,7.03181,16.8918,3.09297,-0.62125,0.2895,96.9354,96.2926
35700,54.7792,63.2546,68.9842,74.9679,97.0289,50.7,16.9208,17.0544,17.8684,11.0811,7.19557,16.7804,2.98259,0.48682,0.1995,96.9354,96.2926
35640,54.7726,62.6142,69.4652,74.6171,96.7493,51.1903,16.9073,17.0451,17.8432,10.9514,7.14797,16.7169,2.99561,-0.00238158,0.049,96.9354,96.2926
35580,53.992,63.615,69.5212,75.8941,97.769,51.2487,16.9325,17.0889,17.958,10.8824,7.18065,16.8481,3.03403,0.356148,0.287,97.4398,96.3554
35520,53.0124,61.4824,69.3802,76.0952,97.9259,51.1131,16.8789,17.0939,18.029,10.832,7.17608,16.6072,2.99425,0.07525,-0.21475,97.4398,96.3554
35460,54.3984,61.4711,69.491,74.59,96.7146,51.2312,16.8759,17.0407,17.8573,10.8279,7.11137,16.6001,2.96691,-0.049,-0.2175,97.4398,96.3554
35400,54.901,62.3881,69.9325,75.6471,97.5707,51.6673,16.9066,17.0849,17.9334,10.8722,7.17815,16.6902,2.98911,0.2825,-0.00325,97.4398,96.3554
35340,53.7131,63.104,69.3625,76.4586,98.2184,51.0903,16.9279,17.1165,18.049,10.6774,7.13833,16.8005,3.06329,-0.10425,0.16775,97.4398,96.3554
35280,54.6157,62.5844,68.8354,75.0082,97.0519,50.5604,16.9116,17.0651,17.8985,10.9099,7.1583,16.7141,2.99884,0.36925,0.05125,96.7979,96.7643
35220,53.841,61.1375,69.2875,75.1316,97.1424,51.0364,16.8703,17.0637,17.9427,10.7616,7.12622,16.5705,2.99319,-0.13175,-0.267455,96.7979,96.7643
35160,53.15,62.1528,69.2203,76.8097,98.4865,50.9691,16.8933,17.1176,18.1267,10.7065,7.18202,16.7027,3.04837,-0.59375,-0.04525,96.7979,96.7643
35100,53.7159,61.4216,69.2977,75.2031,97.2109,51.0424,16.8774,17.0658,17.9345,10.8287,7.13402,16.5957,2.98643,0.193,-0.22,96.7979,96.7643
35040,53.8626,61.2286,69.6668,76.2412,98.0419,51.4214,16.865,17.0931,18.0261,10.9203,7.22629,16.5588,2.95175,0.484,-0.26125,96.7979,96.7643
34980,54.6825,62.7331,69.913,76.9209,98.5863,51.669,16.8966,17.1096,18.0843,10.8315,7.24189,16.7533,3.01272,-0.19075,0.08975,96.8151,95.9813
34920,54.0007,62.2122,69.8753,75.9583,97.8249,51.615,16.8857,17.0778,17.9738,10.815,7.16303,16.6945,2.98805,0.2405,-0.0425,96.8151,95.9813
34860,54.8135,61.5761,69.9573,76.6475,98.3801,51.6825,16.8771,17.1056,18.0449,10.965,7.25111,16.6009,2.94677,0.221827,-0.20475,96.8151,95.9813
34800,53.2142,64.383,70.3607,76.6221,98.371,52.0795,16.956,17.1172,18.0048,10.8577,7.16266,16.9382,3.0819,0.255474,0.45875,96.8151,95.9813
34740,55.0127,61.4647,69.411,76.1963,98.0281,51.1173,16.8911,17.1086,18.0214,10.9975,7.22215,16.5687,2.96401,0.205449,-0.2315,96.8151,95.9813
34680,54.1594,61.496,68.9822,76.4328,98.1978,50.7069,16.8808,17.1075,18.0593,10.9324,7.24876,16.5822,2.95981,0.39425,-0.20875,97.363,96.2102
34620,54.4839,61.7904,69.6774,76.504,98.2478,51.4208,16.8817,17.1038,18.0592,10.8568,7.22949,16.6374,2.99468,-0.04475,-0.1355,97.363,96.2102
34560,52.4787,62.7756,68.359,76.4425,98.1877,50.0869,16.8994,17.0948,18.0869,10.7807,7.18028,16.7821,3.03911,-0.18025,0.0965,97.363,96.2102
34500,55.0571,60.8698,69.3326,75.9455,97.8125,51.0521,16.8682,17.0924,18.013,10.9118,7.2067,16.5137,2.94879,-0.0293842,-0.36525,97.363,96.2102
34440,52.5226,61.4578,69.4093,76.2873,98.076,51.14,16.8781,17.1,18.0607,10.6964,7.12612,16.6349,3.02974,-0.132029,-0.22175,97.363,96.2102
34380,54.9955,60.7986,69.5724,75.5391,97.4808,51.3049,16.8668,17.079,17.9585,10.9805,7.23464,16.4916,2.92643,0.0238847,-0.3815,97.0067,96.2114
34320,54.903,61.4518,69.1876,76.9176,98.5772,50.9191,16.8795,17.1237,18.1075,10.8433,7.24929,16.5863,2.96254,0.217,-0.21825,97.0067,96.2114
34260,55.3028,61.9387,69.9719,76.5537,98.2866,51.7165,16.8923,17.1125,18.055,10.8984,7.26987,16.6302,2.98489,-0.323,-0.10325,97.0067,96.2114
34200,52.5257,63.0877,70.3988,76.1702,97.9763,52.1521,16.9202,17.1003,17.9739,10.8143,7.16985,16.7894,3.03277,0.458,0.1695,97.0067,96.2114
34140,54.0282,62.3702,70.0893,76.5919,98.314,51.8364,16.9049,17.1159,18.042,10.8483,7.2284,16.6961,3.0051,0.08225,-0.002,97.0067,96.2114
34080,53.4284,61.7663,69.4998,76.8218,98.4916,51.2414,16.8891,17.1226,18.1077,10.7901,7.221,16.6392,3.00945,-0.267,-0.142,96.8981,96.8094
34020,54.9171,63.3828,69.005,76.1706,97.976,50.7369,16.9316,17.1055,18.0247,10.8539,7.22658,16.7989,3.03937,-0.24875,0.24425,96.8981,96.8094
33960,55.9496,62.1407,69.8629,75.9553,97.7934,51.6248,16.8922,17.09,17.9817,10.9872,7.30044,16.6396,2.96351,0.0615,-0.00966468,96.8981,96.8094
33900,54.1861,61.34,69.0341,76.341,98.1008,50.7835,16.8686,17.098,18.0664,10.9004,7.29852,16.5735,2.96559,0.11325,-0.115272,96.8981,96.8094
33840,53.8312,62.5772,69.2483,75.6595,97.5578,50.9977,16.8996,17.0749,17.959,10.8807,7.18118,16.7312,2.99286,0.32025,0.05325,96.8981,96.8094
33780,53.4846,63.9935,69.2637,74.6313,96.7484,50.9995,16.9428,17.0498,17.839,10.7067,7.05273,16.9072,3.0756,0.1005,0.38425,97.0923,96.2927
33720,53.6723,61.5914,69.2457,75.7701,97.6574,50.9868,16.8827,17.0859,18.0134,10.6463,7.11195,16.6359,3.03465,-0.37,-0.174393,97.0923,96.2927
33660,54.2314,60.757,70.2052,76.0876,97.9096,51.965,16.8597,17.0931,18.0162,10.7696,7.18212,16.5267,2.97233,-0.1415,-0.348489,97.0923,96.2927
33600,55.4289,63.3089,68.5187,75.5812,97.5028,50.2487,16.9166,17.0722,17.9633,10.9257,7.2408,16.7958,3.00428,0.029,0.292117,97.0923,96.2927
33540,54.0096,61.7505,69.4932,76.8278,98.5021,51.2365,16.8799,17.1139,18.1004,10.7762,7.20731,16.6427,2.99689,-0.05325,-0.1445,97.0923,96.2927
33480,54.262,63.5109,69.5608,75.5659,97.5066,51.2851,16.9313,17.0799,17.9214,10.989,7.18815,16.8198,3.02046,0.376243,0.2635,97.3451,96.5329
33420,53.8704,62.9169,70.1123,75.6036,97.5387,51.8512,16.9204,17.0859,17.9407,10.7345,7.11072,16.7698,3.05478,-0.0931963,0.127289,97.3451,96.5329
33360,54.9537,62.7722,70.3166,76.5262,98.2616,52.0732,16.9092,17.1089,18.0394,10.6988,7.18438,16.7615,3.03911,-0.49275,0.120395,97.3451,96.5329
33300,54.2754,61.6417,69.3864,77.1966,98.8025,51.125,16.8844,17.1329,18.1335,10.9311,7.28886,16.6036,2.96691,0.2059,-0.173623,97.3451,96.5329
33240,54.4377,61.4858,68.7077,74.8161,96.8965,50.4358,16.8766,17.0503,17.9052,10.8693,7.16932,16.5918,2.96715,0.10275,-0.139683,97.3451,96.5329
33180,53.0903,60.4305,70.6554,76.3392,98.1205,52.4127,16.8531,17.1021,18.0462,10.7064,7.18604,16.5013,2.98988,-0.30643,-0.371322,97.2635,96.2032
33120,54.9907,64.5588,69.933,75.6673,97.5834,51.6784,16.9519,17.0798,17.9125,10.874,7.20686,16.9364,3.04643,0.0770996,0.548015,97.2635,96.2032
33060,54.2404,65.1591,68.8521,76.1135,97.9479,50.5715,16.9698,17.0982,17.9747,10.8761,7.20062,17.0032,3.06466,0.453371,0.65967,97.2635,96.2032
33000,53.754,61.898,69.3478,76.1883,97.9975,51.082,16.887,17.0952,18.0251,10.8605,7.19738,16.6509,2.98407,0.12725,-0.1155,97.2635,96.2032
32940,54.619,62.1373,69.4044,75.7164,97.6207,51.1431,16.8935,17.0808,17.961,10.8239,7.17666,16.6769,2.98391,0.3725,0.00316842,97.2635,96.2032
